Latitude,Longitude,Zone,Land-Use
45.529334,9.1592403,zone9,farmland
45.5289861,9.1569278,zone9,farmland
45.5294809,9.1567799,zone9,farmland
45.5301097,9.156592,zone9,farmland
45.5262032,9.1550266,zone9,allotments
45.5263319,9.1560348,zone9,allotments
45.5264718,9.1569232,zone9,allotments
45.5260063,9.1570823,zone9,allotments
45.5259794,9.1571331,zone9,allotments
45.5260289,9.1574783,zone9,allotments
45.5251085,9.1577607,zone9,allotments
45.5249224,9.1565938,zone9,allotments
45.5249118,9.1565227,zone9,allotments
45.5247465,9.1554149,zone9,allotments
45.5257196,9.1551319,zone9,allotments
45.5262032,9.1550266,zone9,allotments
45.5285428,9.1536121,zone9,industrial
45.5287856,9.1556141,zone9,industrial
45.5270629,9.1561438,zone9,industrial
45.526818,9.1541217,zone9,industrial
45.5278052,9.1538875,zone9,industrial
45.5280535,9.1537481,zone9,industrial
45.5285428,9.1536121,zone9,industrial
45.5349746,9.160652,zone9,industrial
45.5337588,9.1610776,zone9,industrial
45.5337083,9.1610953,zone9,industrial
45.5336268,9.1611238,zone9,industrial
45.5335639,9.1611459,zone9,industrial
45.5335084,9.1611653,zone9,industrial
45.531792,9.1617431,zone9,industrial
45.531719,9.1612502,zone9,industrial
45.531536,9.1600142,zone9,industrial
45.5310517,9.1567435,zone9,industrial
45.5306985,9.153954,zone9,industrial
45.5305932,9.152967,zone9,industrial
45.5304692,9.1525378,zone9,industrial
45.5297124,9.1509907,zone9,industrial
45.5289346,9.1494997,zone9,industrial
45.5293874,9.1490745,zone9,industrial
45.532663,9.1558932,zone9,industrial
45.5328163,9.1562086,zone9,industrial
45.5328426,9.1561805,zone9,industrial
45.5333002,9.1571313,zone9,industrial
45.5336705,9.1579681,zone9,industrial
45.5349746,9.160652,zone9,industrial
45.499433,9.1904298,zone9,grass
45.4994826,9.1906693,zone9,grass
45.5002179,9.1903494,zone9,grass
45.5001728,9.1901214,zone9,grass
45.499433,9.1904298,zone9,grass
45.5142846,9.2086046,zone9,grass
45.5139284,9.2087673,zone9,grass
45.5139465,9.2088566,zone9,grass
45.5139659,9.20896,zone9,grass
45.5139889,9.2091238,zone9,grass
45.5140058,9.2093877,zone9,grass
45.5140043,9.2095062,zone9,grass
45.5139972,9.2096421,zone9,grass
45.5142846,9.2086046,zone9,grass
45.4976316,9.1848351,zone9,grass
45.4976613,9.184848,zone9,grass
45.4977255,9.1848075,zone9,grass
45.4977198,9.1847141,zone9,grass
45.4977609,9.1845412,zone9,grass
45.4976444,9.1844619,zone9,grass
45.4976157,9.1844763,zone9,grass
45.4976007,9.1845142,zone9,grass
45.4976138,9.1847851,zone9,grass
45.4976316,9.1848351,zone9,grass
45.5060226,9.1850863,zone9,greenhouse_horticulture
45.5059752,9.1852832,zone9,greenhouse_horticulture
45.5065032,9.1855421,zone9,greenhouse_horticulture
45.5065666,9.1852787,zone9,greenhouse_horticulture
45.506616,9.1853029,zone9,greenhouse_horticulture
45.5066699,9.1853294,zone9,greenhouse_horticulture
45.5065493,9.18583,zone9,greenhouse_horticulture
45.5067613,9.1859339,zone9,greenhouse_horticulture
45.5067548,9.1859608,zone9,greenhouse_horticulture
45.5068824,9.1860233,zone9,greenhouse_horticulture
45.5070108,9.1854902,zone9,greenhouse_horticulture
45.5069952,9.1854825,zone9,greenhouse_horticulture
45.5070136,9.1854063,zone9,greenhouse_horticulture
45.5070817,9.1854397,zone9,greenhouse_horticulture
45.5071504,9.1851543,zone9,greenhouse_horticulture
45.5068227,9.1849936,zone9,greenhouse_horticulture
45.5068013,9.1850825,zone9,greenhouse_horticulture
45.5067433,9.1850541,zone9,greenhouse_horticulture
45.5066964,9.1852489,zone9,greenhouse_horticulture
45.5066363,9.1852194,zone9,greenhouse_horticulture
45.5065181,9.1851615,zone9,greenhouse_horticulture
45.5064819,9.1853116,zone9,greenhouse_horticulture
45.5060226,9.1850863,zone9,greenhouse_horticulture
